,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,ZipCode,Municipality,CAMIONES,FURGONETAS,AUTOBUSES,TURISMOS,MOTOCICLETAS,"TRACTORES
INDUSTRIALES","REMOLQUES y
SEMIRREMOLQUES","OTROS
VEHÍCULOS",TOTAL
25,1126.0,1170.0,1191.0,1233.0,1249.0,1258.0,1312.0,1328.0,1361.0,1359.0,1384.0,15025,Cerdido,97.0,48.0,0.0,763.0,54.0,5.0,10.0,26.0,1003.0
26,,,,,,2131.0,2174.0,2225.0,2209.0,2219.0,2274.0,15026,Cesuras,,,,,,,,,
27,1824.0,1801.0,1789.0,1757.0,1747.0,1751.0,1765.0,1771.0,1722.0,1713.0,1713.0,15027,Coirós,91.0,94.0,0.0,1210.0,151.0,23.0,37.0,28.0,1634.0
28,1578.0,1592.0,1606.0,1655.0,1672.0,1654.0,1731.0,1767.0,1803.0,1815.0,1822.0,15028,Corcubión,60.0,44.0,0.0,834.0,55.0,1.0,5.0,17.0,1016.0
29,6177.0,6313.0,6426.0,6551.0,6706.0,6875.0,6974.0,7102.0,7165.0,7285.0,7376.0,15029,Coristanco,439.0,292.0,39.0,3929.0,235.0,33.0,65.0,112.0,5144.0
30,244850.0,244099.0,243978.0,243870.0,244810.0,245923.0,246146.0,246028.0,246047.0,246056.0,245164.0,15030,"Coruña, A",6612.0,5970.0,377.0,112956.0,10690.0,506.0,1374.0,1145.0,139630.0
31,30221.0,29982.0,29638.0,29593.0,29434.0,29415.0,29416.0,29207.0,28737.0,28227.0,27670.0,15031,Culleredo,1227.0,1003.0,83.0,15713.0,1548.0,157.0,394.0,171.0,20296.0
32,3958.0,3968.0,3980.0,4014.9999999999995,4048.0,4112.0,4159.0,4214.0,4228.0,4246.0,4245.0,15032,Curtis,332.0,253.0,7.0,2505.0,179.0,62.0,114.0,88.0,3540.0
33,2791.0,2832.0,2853.0,2882.0,2913.0,2934.0,2977.0,2980.0,3017.0,3029.0,3024.0,15033,Dodro,154.0,101.0,2.0,1828.0,197.0,39.0,50.0,29.0,2400.0
34,3040.0,3053.0,3085.0,3077.0,3137.0,3216.0,3291.0,3652.0,3705.0,3751.0,3820.0,15034,Dumbría,213.0,162.0,0.0,2160.0,124.0,29.0,56.0,118.0,2862.0
35,13013.0,13110.0,13250.0,13385.0,13498.0,13639.0,13780.0,13902.0,14092.0,14165.0,14169.0,15035,Fene,377.0,360.0,0.0,8124.0,790.0,17.0,60.0,87.0,9815.0
36,66799.0,67569.0,68308.0,69452.0,70389.0,71232.0,71997.0,72963.0,73638.0,74273.0,74696.0,15036,Ferrol,1849.0,1459.0,149.0,37478.0,2699.0,59.0,258.0,343.0,44294.0
37,4701.0,4734.0,4737.0,4775.0,4824.0,4907.0,4990.0,4983.0,4995.0,5005.0,4959.0,15037,Fisterra,136.0,116.0,0.0,2128.0,136.0,11.0,22.0,53.0,2602.0
38,2385.0,2422.0,2428.0,2460.0,2485.0,2509.0,2566.0,2607.0,2648.0,2706.0,2732.0,15038,Frades,153.0,117.0,0.0,1676.0,93.0,28.0,62.0,58.0,2187.0
39,1333.0,1361.0,1369.0,1389.0,1421.0,1442.0,1492.0,1502.0,1501.0,1526.0,1550.0,15039,Irixoa,58.0,79.0,0.0,871.0,96.0,7.0,15.0,31.0,1157.0
40,11302.0,11281.0,11295.0,11402.0,11443.0,11375.0,11367.0,11337.0,11213.0,11171.0,11079.0,15041,"Laracha, A",739.0,487.0,1.0,6974.0,524.0,36.0,94.0,164.0,9019.0
41,3084.0,3090.0,3148.0,3185.0,3207.0,3267.0,3313.0,3366.0,3417.0,3413.0,3434.0,15040,Laxe,182.0,103.0,9.0,1793.0,178.0,13.0,17.0,47.0,2342.0
42,3386.0,3447.0,3429.0,3463.0,3513.0,3493.0,3621.0,3657.0,3699.0,3687.0,3702.0,15042,Lousame,209.0,152.0,18.0,2179.0,208.0,14.0,34.0,74.0,2888.0
43,5447.0,5518.0,5616.0,5666.0,5768.0,5875.0,5998.0,6102.0,6178.0,6228.0,6320.0,15043,Malpica de Bergantiños,303.0,189.0,16.0,3159.0,181.0,13.0,26.0,71.0,3958.0
44,1363.0,1391.0,1420.0,1454.0,1455.0,1507.0,1537.0,1589.0,1602.0,1622.0,1628.0,15044,Mañón,69.0,67.0,10.0,840.0,74.0,6.0,24.0,19.0,1109.0
45,3947.0,4014.0000000000005,4086.9999999999995,4173.0,4289.0,4141.0,4533.0,4720.0,4854.0,4939.0,5050.0,15045,Mazaricos,289.0,173.0,14.0,2858.0,113.0,34.0,62.0,109.0,3652.0
46,7443.0,7503.0,7488.0,7538.0,7578.0,7313.0,7502.0,7824.0,7838.0,7874.0,7901.0,15046,Melide,529.0,423.0,27.0,4094.0,213.0,95.0,156.0,116.0,5653.0
47,2582.0,2637.0,2700.0,2734.0,2795.0,2849.0,2879.0,2922.0,2918.0,2975.0,3033.0,15047,Mesía,176.0,154.0,7.0,1857.0,99.0,36.0,57.0,71.0,2457.0
48,6056.0,5905.0,5832.0,5859.0,5838.0,5786.0,5739.0,5760.0,5628.0,5488.0,5326.0,15048,Miño,186.0,236.0,0.0,3206.0,306.0,15.0,28.0,56.0,4033.0
49,1226.0,1230.0,1220.0,1246.0,1303.0,1335.0,1358.0,1363.0,1401.0,1416.0,1435.0,15049,Moeche,73.0,58.0,0.0,876.0,62.0,1.0,31.0,23.0,1124.0
50,1962.0,1985.0,2019.0000000000002,2037.0,2089.0,2109.0,2129.0,2178.0,2239.0,2299.0,2353.0,15050,Monfero,95.0,113.0,1.0,1393.0,152.0,9.0,34.0,49.0,1846.0
51,5307.0,5303.0,5335.0,5362.0,5417.0,5470.0,5456.0,5481.0,5536.0,5565.0,5605.0,15051,Mugardos,154.0,99.0,0.0,3059.0,285.0,18.0,23.0,37.0,3675.0
52,8695.0,8792.0,8834.0,8960.0,9117.0,9281.0,9437.0,9565.0,9704.0,9787.0,9823.0,15053,Muros,327.0,252.0,1.0,4680.0,413.0,9.0,20.0,78.0,5780.0
53,4736.0,4852.0,4941.0,5025.0,5068.0,5162.0,5269.0,5377.0,5423.0,5510.0,5579.0,15052,Muxía,248.0,223.0,0.0,2875.0,203.0,20.0,45.0,94.0,3708.0
54,39115.0,39280.0,39426.0,39565.0,39574.0,39450.0,39238.0,38910.0,38285.0,37712.0,37008.0,15054,Narón,1347.0,993.0,30.0,21920.0,1768.0,279.0,602.0,261.0,27200.0
